"Sensor","Date_Time","Date","Time","Count"
"La Trobe St (North)",2020-07-01 04:00:00,2020-07-01,4,35
"231 Bourke St",2020-07-01 04:00:00,2020-07-01,4,10
"Royal Pde - Grattan St",2020-07-01 04:00:00,2020-07-01,4,3
"Bourke Street Mall (North)",2020-07-01 05:00:00,2020-07-01,5,9
"Bourke Street Mall (South)",2020-07-01 05:00:00,2020-07-01,5,2
"Melbourne Central",2020-07-01 05:00:00,2020-07-01,5,31
"Town Hall (West)",2020-07-01 05:00:00,2020-07-01,5,48
"Princes Bridge",2020-07-01 05:00:00,2020-07-01,5,98
"Flinders Street Station Underpass",2020-07-01 05:00:00,2020-07-01,5,105
"Birrarung Marr",2020-07-01 05:00:00,2020-07-01,5,15
"Webb Bridge",2020-07-01 05:00:00,2020-07-01,5,17
"Southern Cross Station",2020-07-01 05:00:00,2020-07-01,5,49
"Victoria Point",2020-07-01 05:00:00,2020-07-01,5,5
"Waterfront City",2020-07-01 05:00:00,2020-07-01,5,1
"New Quay",2020-07-01 05:00:00,2020-07-01,5,10
"Flagstaff Station",2020-07-01 05:00:00,2020-07-01,5,NA
"Sandridge Bridge",2020-07-01 05:00:00,2020-07-01,5,93
"State Library",2020-07-01 05:00:00,2020-07-01,5,NA
"Collins St (North)",2020-07-01 05:00:00,2020-07-01,5,22
"Collins Place (South)",2020-07-01 05:00:00,2020-07-01,5,48
"Collins Place (North)",2020-07-01 05:00:00,2020-07-01,5,9
"Chinatown-Swanston St (North)",2020-07-01 05:00:00,2020-07-01,5,14
"Chinatown-Lt Bourke St (South)",2020-07-01 05:00:00,2020-07-01,5,6
"Bourke St-Russell St (West)",2020-07-01 05:00:00,2020-07-01,5,NA
"Flinders St-Elizabeth St (East)",2020-07-01 05:00:00,2020-07-01,5,155
"Spencer St-Collins St (South)",2020-07-01 05:00:00,2020-07-01,5,22
"Spencer St-Collins St (North)",2020-07-01 05:00:00,2020-07-01,5,116
"Melbourne Convention Exhibition Centre",2020-07-01 05:00:00,2020-07-01,5,46
"QV Market-Elizabeth St (West)",2020-07-01 05:00:00,2020-07-01,5,58
"QV Market-Peel St",2020-07-01 05:00:00,2020-07-01,5,4
"The Arts Centre",2020-07-01 05:00:00,2020-07-01,5,69
